province_id | province_name   | ward_id | ward_name               | data_full_uploaded | data_no_full_uploaded | total_uploaded
1           | TP. Hà Nội      | 20396   | Phúc Thọ                | 2                  | 0                     | 2             
1           | TP. Hà Nội      | 20387   | Phượng Dực              | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 698     | Phương Liệt             | 31                 | 54                    | 85            
1           | TP. Hà Nội      | 857     | Quảng Bị                | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 793     | Quang Minh              | 2                  | 25                    | 27            
1           | TP. Hà Nội      | 809     | Quảng Oai               | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 20399   | Quốc Oai                | 1                  | 5                     | 6             
1           | TP. Hà Nội      | 20400   | Sóc Sơn                 | 0                  | 15                    | 15            
1           | TP. Hà Nội      | 916     | Sơn Đồng                | 3                  | 40                    | 43            
1           | TP. Hà Nội      | 992     | Sơn Tây                 | 1                  | 4                     | 5             
1           | TP. Hà Nội      | 806     | Suối Hai                | 0                  | 4                     | 4             
1           | TP. Hà Nội      | 1039    | Tam Hưng                | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 688     | Tây Hồ                  | 68                 | 223                   | 291           
1           | TP. Hà Nội      | 524     | Tây Mỗ                  | 6                  | 180                   | 186           
1           | TP. Hà Nội      | 1018    | Tây Phương              | 0                  | 4                     | 4             
1           | TP. Hà Nội      | 516     | Tây Tựu                 | 4                  | 23                    | 27            
1           | TP. Hà Nội      | 20402   | Thạch Thất              | 0                  | 5                     | 5             
1           | TP. Hà Nội      | 704     | Thanh Liệt              | 9                  | 34                    | 43            
1           | TP. Hà Nội      | 1045    | Thanh Oai               | 0                  | 7                     | 7             
1           | TP. Hà Nội      | 21540   | Thanh Trì               | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 703     | Thanh Xuân              | 59                 | 200                   | 259           
1           | TP. Hà Nội      | 644     | Thiên Lộc               | 0                  | 27                    | 27            
1           | TP. Hà Nội      | 637     | Thư Lâm                 | 0                  | 9                     | 9             
1           | TP. Hà Nội      | 20359   | Thuận An                | 11                 | 2                     | 13            
1           | TP. Hà Nội      | 787     | Thượng Cát              | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 1063    | Thượng Phúc             | 1                  | 2                     | 3             
1           | TP. Hà Nội      | 20403   | Thường Tín              | 0                  | 4                     | 4             
1           | TP. Hà Nội      | 799     | Tiến Thắng              | 1                  | 2                     | 3             
1           | TP. Hà Nội      | 865     | Trần Phú                | 4                  | 13                    | 17            
1           | TP. Hà Nội      | 585     | Trung Giã               | 3                  | 15                    | 18            
1           | TP. Hà Nội      | 512     | Từ Liêm                 | 10                 | 331                   | 341           
1           | TP. Hà Nội      | 1001    | Tùng Thiện              | 1                  | 10                    | 11            
1           | TP. Hà Nội      | 672     | Tương Mai               | 4                  | 46                    | 50            
1           | TP. Hà Nội      | 1076    | Ứng Hòa                 | 0                  | 2                     | 2             
1           | TP. Hà Nội      | 1089    | Ứng Thiên               | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 1097    | Vân Đình                | 0                  | 3                     | 3             
1           | TP. Hà Nội      | 729     | Văn Miếu - Quốc Tử Giám | 49                 | 107                   | 156           
1           | TP. Hà Nội      | 835     | Vật Lại                 | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 21541   | Việt Hưng               | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 21526   | Vĩnh Hưng               | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 629     | Vĩnh Thanh              | 1                  | 37                    | 38            
1           | TP. Hà Nội      | 726     | Vĩnh Tuy                | 28                 | 144                   | 172           
1           | TP. Hà Nội      | 20029   | Xuân Đỉnh               | 2                  | 12                    | 14            
1           | TP. Hà Nội      | 869     | Xuân Mai                | 3                  | 22                    | 25            
1           | TP. Hà Nội      | 532     | Xuân Phương             | 6                  | 102                   | 108           
1           | TP. Hà Nội      | 836     | Yên Bài                 | 0                  | 5                     | 5             
1           | TP. Hà Nội      | 686     | Yên Hòa                 | 102                | 0                     | 102           
1           | TP. Hà Nội      | 783     | Yên Lãng                | 0                  | 1                     | 1             
1           | TP. Hà Nội      | 893     | Yên Nghĩa               | 33                 | 14                    | 47            
1           | TP. Hà Nội      | 21504   | Yên Sở                  | 0                  | 0                     | 0             
1           | TP. Hà Nội      | 972     | Yên Xuân                | 2                  | 6                     | 8             
4           | Vĩnh Long       | 2865    | An Bình                | 10                 | 6                     | 16            
4           | Vĩnh Long       | 10942   | An Định                 | 2                  | 0                     | 2             
