province_id	province_name	alonhadat	batdongsan	nhatot	guland	mogi	total
1	TP. Hà Nội	893	Yên Nghĩa	0	0	1	0	0	1
1	TP. Hà Nội	895	Phú Lương	0	12	0	1	0	13
1	TP. Hà Nội	897	Hà Đông	0	592	51	0	3	646
1	TP. Hà Nội	903	An Khánh	0	236	22	0	0	258
1	TP. Hà Nội	905	Dương Hòa	0	2	0	0	0	2
1	TP. Hà Nội	916	Sơn Đồng	0	79	8	0	0	87
1	TP. Hà Nội	919	Hoài Đức	0	253	15	0	0	268
1	TP. Hà Nội	928	Mỹ Đức	0	8	0	0	0	8
1	TP. Hà Nội	931	Hồng Sơn	0	1	0	0	0	1
1	TP. Hà Nội	935	Hương Sơn	0	3	0	0	0	3
1	TP. Hà Nội	939	Phúc Sơn	0	5	0	0	0	5
1	TP. Hà Nội	946	Hát Môn	0	3	0	0	0	3
1	TP. Hà Nội	968	Kiều Phú	0	3	0	0	0	3
1	TP. Hà Nội	969	Hưng Đạo	0	1	0	0	0	1
1	TP. Hà Nội	972	Yên Xuân	0	15	1	0	0	16
1	TP. Hà Nội	979	Phú Cát	0	93	6	0	0	99
1	TP. Hà Nội	990	Đoài Phương	0	72	2	0	0	74
1	TP. Hà Nội	992	Sơn Tây	0	7	1	0	0	8
1	TP. Hà Nội	1001	Tùng Thiện	0	16	0	0	0	16
1	TP. Hà Nội	1012	Hạ Bằng	0	66	9	0	0	75
1	TP. Hà Nội	1018	Tây Phương	0	3	0	0	0	3
1	TP. Hà Nội	1022	Hòa Lạc	0	61	3	0	0	64
1	TP. Hà Nội	1027	Bình Minh	0	61	9	0	0	70
1	TP. Hà Nội	1031	Dân Hòa	0	5	0	0	0	5
1	TP. Hà Nội	1039	Tam Hưng	0	3	0	0	0	3
1	TP. Hà Nội	1045	Thanh Oai	0	12	0	0	0	12
1	TP. Hà Nội	1047	Chương Dương	0	6	0	0	0	6
1	TP. Hà Nội	1053	Hồng Vân	0	9	1	0	0	10
1	TP. Hà Nội	1063	Thượng Phúc	0	3	0	0	0	3
1	TP. Hà Nội	1076	Ứng Hòa	0	3	0	0	0	3
1	TP. Hà Nội	1084	Hòa Xá	0	1	0	0	0	1
1	TP. Hà Nội	1089	Ứng Thiên	0	3	0	0	0	3
1	TP. Hà Nội	1097	Vân Đình	0	4	0	0	0	4
1	TP. Hà Nội	20029	Xuân Đỉnh	0	55	3	0	0	58
1	TP. Hà Nội	20037	Đại Xuyên	0	2	0	0	0	2
1	TP. Hà Nội	20354	Phù Đổng	0	18	5	0	0	23
1	TP. Hà Nội	20357	Gia Lâm	0	168	2	0	0	170
1	TP. Hà Nội	20359	Thuận An	0	5	0	0	0	5
1	TP. Hà Nội	20363	Bát Tràng	0	291	64	0	1	356
1	TP. Hà Nội	20370	Phú Xuyên	0	5	0	0	0	5
1	TP. Hà Nội	20374	Chuyên Mỹ	0	1	0	0	0	1
1	TP. Hà Nội	20387	Phượng Dực	0	6	0	0	0	6
1	TP. Hà Nội	20396	Phúc Thọ	0	4	1	0	0	5
1	TP. Hà Nội	20397	Phúc Lộc	0	1	1	0	0	2
1	TP. Hà Nội	20399	Quốc Oai	0	9	1	0	0	10
1	TP. Hà Nội	20400	Sóc Sơn	0	23	1	0	0	24
1	TP. Hà Nội	20402	Thạch Thất	0	4	0	0	0	4
1	TP. Hà Nội	20403	Thường Tín	0	11	1	0	0	12
4	Vĩnh Long	1780	Cái Vồn	0	2	1	0	0	3
4	Vĩnh Long	1781	Bình Minh	0	3	3	0	0	6
4	Vĩnh Long	1789	Long Hồ	0	0	2	0	0	2
4	Vĩnh Long	1791	Phú Quới	0	1	0	0	0	1
4	Vĩnh Long	1792	Phước Hậu	0	5	6	0	0	11
4	Vĩnh Long	1793	Tân Hạnh	0	0	4	0	0	4
4	Vĩnh Long	1794	Thanh Đức	0	3	2	0	0	5
4	Vĩnh Long	1797	Bình Phước	0	0	1	0	0	1
4	Vĩnh Long	1798	Cái Nhum	0	1	2	0	0	3
4	Vĩnh Long	1805	Nhơn Phú	0	0	1	0	0	1
4	Vĩnh Long	1808	Tân Long Hội	0	0	1	0	0	1
4	Vĩnh Long	1811	Hòa Hiệp	0	0	1	0	0	1
4	Vĩnh Long	1814	Ngãi Tứ	0	0	1	0	0	1
4	Vĩnh Long	1821	Song Phú	0	1	1	0	0	2
4	Vĩnh Long	1840	Tân Ngãi	0	0	2	0	0	2
4	Vĩnh Long	1841	Long Châu	0	7	3	0	0	10
4	Vĩnh Long	1863	Trung Ngãi	0	0	1	0	0	1
4	Vĩnh Long	1865	Trung Thành	0	0	1	0	0	1
4	Vĩnh Long	2865	An Bình	0	0	2	0	0	2
4	Vĩnh Long	2892	Phú Khương	0	1	0	0	0	1
4	Vĩnh Long	2894	Phú Tân	0	1	0	0	0	1
4	Vĩnh Long	2968	Phước Long	0	2	0	0	0	2
4	Vĩnh Long	2969	An Hội	0	1	0	0	0	1
4	Vĩnh Long	10458	Hưng Mỹ	0	1	0	0	0	1
