province_id | province_name   | ward_id | ward_name               | data_full_count | data_no_full_count | total_count
1           | TP. Hà Nội      | 20387   | Phượng Dực              | 8               | 14                 | 22         
1           | TP. Hà Nội      | 698     | Phương Liệt             | 319             | 239                | 558        
1           | TP. Hà Nội      | 857     | Quảng Bị                | 19              | 15                 | 34         
1           | TP. Hà Nội      | 793     | Quang Minh              | 101             | 110                | 211        
1           | TP. Hà Nội      | 809     | Quảng Oai               | 8               | 10                 | 18         
1           | TP. Hà Nội      | 20399   | Quốc Oai                | 53              | 31                 | 84         
1           | TP. Hà Nội      | 20400   | Sóc Sơn                 | 97              | 71                 | 168        
1           | TP. Hà Nội      | 916     | Sơn Đồng                | 254             | 242                | 496        
1           | TP. Hà Nội      | 992     | Sơn Tây                 | 36              | 29                 | 65         
1           | TP. Hà Nội      | 806     | Suối Hai                | 30              | 38                 | 68         
1           | TP. Hà Nội      | 1039    | Tam Hưng                | 14              | 23                 | 37         
1           | TP. Hà Nội      | 688     | Tây Hồ                  | 849             | 756                | 1605       
1           | TP. Hà Nội      | 524     | Tây Mỗ                  | 888             | 789                | 1677       
1           | TP. Hà Nội      | 1018    | Tây Phương              | 9               | 10                 | 19         
1           | TP. Hà Nội      | 516     | Tây Tựu                 | 48              | 54                 | 102        
1           | TP. Hà Nội      | 20402   | Thạch Thất              | 12              | 16                 | 28         
1           | TP. Hà Nội      | 704     | Thanh Liệt              | 42              | 74                 | 116        
1           | TP. Hà Nội      | 1045    | Thanh Oai               | 78              | 58                 | 136        
1           | TP. Hà Nội      | 21540   | Thanh Trì               | 0               | 0                  | 0          
1           | TP. Hà Nội      | 703     | Thanh Xuân              | 1271            | 923                | 2194       
1           | TP. Hà Nội      | 644     | Thiên Lộc               | 34              | 58                 | 92         
1           | TP. Hà Nội      | 637     | Thư Lâm                 | 30              | 31                 | 61         
1           | TP. Hà Nội      | 20359   | Thuận An                | 55              | 12                 | 67         
1           | TP. Hà Nội      | 787     | Thượng Cát              | 6               | 0                  | 6          
1           | TP. Hà Nội      | 1063    | Thượng Phúc             | 24              | 8                  | 32         
1           | TP. Hà Nội      | 20403   | Thường Tín              | 47              | 45                 | 92         
1           | TP. Hà Nội      | 799     | Tiến Thắng              | 12              | 9                  | 21         
1           | TP. Hà Nội      | 865     | Trần Phú                | 51              | 55                 | 106        
1           | TP. Hà Nội      | 585     | Trung Giã               | 55              | 44                 | 99         
1           | TP. Hà Nội      | 512     | Từ Liêm                 | 307             | 707                | 1014       
1           | TP. Hà Nội      | 1001    | Tùng Thiện              | 76              | 47                 | 123        
1           | TP. Hà Nội      | 672     | Tương Mai               | 132             | 124                | 256        
1           | TP. Hà Nội      | 1076    | Ứng Hòa                 | 14              | 9                  | 23         
1           | TP. Hà Nội      | 1089    | Ứng Thiên               | 6               | 11                 | 17         
1           | TP. Hà Nội      | 1097    | Vân Đình                | 13              | 7                  | 20         
1           | TP. Hà Nội      | 729     | Văn Miếu - Quốc Tử Giám | 277             | 296                | 573        
1           | TP. Hà Nội      | 835     | Vật Lại                 | 5               | 4                  | 9          
1           | TP. Hà Nội      | 21541   | Việt Hưng               | 0               | 0                  | 0          
1           | TP. Hà Nội      | 21526   | Vĩnh Hưng               | 0               | 0                  | 0          
