BDS_Location,Map,Cafeland_Suggestion,Score,BDS_ID,Sys_Ward_ID
"Xã Krông Jing, M'Đrăk, Đắk Lắk",->,"Krông Jing, M'Đrắt",1.00,9104,10829
"Xã Cư San, M'Đrăk, Đắk Lắk",->,"Cư San, M'Đrắt",1.00,9105,10821
"Xã Cư Ê Wi, Cư Kuin, Đắk Lắk",->,"Cư Êwi, Cư Kuin",0.92,9144,20812
"Xã Bình Hòa, Krông Ana, Đắk Lắk",->,"Bình Hòa, Krông A Na",1.00,9147,10754
"Xã Quảng Điền, Krông Ana, Đắk Lắk",->,"Quảng Điền, Krông A Na",1.00,9148,10759
"Xã Dur Kmăl, Krông Ana, Đắk Lắk",->,"Dur Kmăl, Krông A Na",1.00,9149,10756
"Xã Băng A Drênh, Krông Ana, Đắk Lắk",->,"Băng ADrênh, Krông A Na",0.96,9150,10753
"Xã Ea Bông, Krông Ana, Đắk Lắk",->,"Ea Bông, Krông A Na",1.00,9151,10757
"Xã Ea Na, Krông Ana, Đắk Lắk",->,"Ea Na, Krông A Na",1.00,9152,10758
"Xã Dray Sáp, Krông Ana, Đắk Lắk",->,"Dray Sáp, Krông A Na",1.00,9153,10755
"Xã Phú Thanh, Phú Vang, Thừa Thiên Huế",->,"Phú Thuận, Phú Vang",0.89,9171,21353
"Xã Phú Dương, Phú Vang, Thừa Thiên Huế",->,"Phú Lương, Phú Vang",0.89,9175,10220
"Phường Hương An, Hương Trà, Thừa Thiên Huế",->,"Hương Văn, Hương Trà",0.94,9244,10167
"Xã Hương Vinh, Hương Trà, Thừa Thiên Huế",->,"Hương Bình, Hương Trà",0.90,9247,10162
"Xã Chiềng Ơn, Quỳnh Nhai, Sơn La",->,"Chiền Ơn, Quỳnh Nhai",0.94,9381,8770
"Xã Nong Lay, Thuận Châu, Sơn La",->,"Noong Lay, Thuận Châu",0.94,9425,8830
"Xã Mường Cai, Sông Mã, Sơn La",->,"Mường Cao, Sông Mã",0.89,9590,8802
"Xã Phú Hồng, Ba Vì, Hà Nội",->,"Phú Phương, Ba Vì",0.89,9660,822
"Xã Minh Quang, Chiêm Hóa, Tuyên Quang",->,"Vinh Quang, Chiêm Hóa",0.90,10878,10530
"Xã Dế Xu Phình, Mù Cang Chải, Yên Bái",->,"Dế Su Phình, Mù Căng Chải",0.91,11467,1507
"Xã Đông Hưng, Thanh Hóa, Thanh Hóa",->,"Đông Hương, TP. Thanh Hóa",0.95,11605,9393
"Xã Xuân Hưng, Xuân Lộc, Đồng Nai",->,"Xuân Hương, Xuân Lộc",0.95,12024,1226
"Xã Ea Sar, Ea Kar, Đắk Lắk",->,"Ea Sar, Ea Kra",1.00,12175,10740
"Xã Mản Thẩn, Si Ma Cai, Lào Cai",->,"Mản Thẩn, Xi Ma Cai",1.00,12196,5766
"Xã Thủy An, Huế, Thừa Thiên Huế",->,"Thủy Vân, Huế",0.93,12235,10156
"Xã Hưng Thịnh, Vinh, Nghệ An",->,"Hưng Chính, Vinh",0.90,12246,6977
"Xã Ia Tơi, Ia H'Drai, Kon Tum",->,"Ia Tơi, La HDrai",1.00,12307,20856
"Xã Ia Dom, Ia H'Drai, Kon Tum",->,"Ia Dom, La HDrai",1.00,12308,20854
"Xã Ia Đal, Ia H'Drai, Kon Tum",->,"Ia Đal, La HDrai",1.00,12309,20855
"Xã Đạ Ploa, Đạ Huoai, Lâm Đồng",->,"Đạ P´loa, Đạ Huoai",0.93,12316,5846
"Xã Chi Lăng, Chi Lăng, Lạng Sơn",->,"Chi Lăng, Cao Lăng",1.00,12378,21154
"Xã Huổi Lếch, Mường Nhé, Điện Biên",->,"Xã Huổi Lếnh, Huyện Mường Nhé",0.89,12390,20182

