province_id	province_name	ward_id	ward_name	total_uploaded
4	Vĩnh Long	1789	Long Hồ	8
4	Vĩnh Long	1791	Phú Quới	9
4	Vĩnh Long	1792	Phước Hậu	49
4	Vĩnh Long	1793	Tân Hạnh	20
4	Vĩnh Long	1794	Thanh Đức	21
4	Vĩnh Long	1797	Bình Phước	2
4	Vĩnh Long	1798	Cái Nhum	2
4	Vĩnh Long	1805	Nhơn Phú	3
4	Vĩnh Long	1808	Tân Long Hội	1
4	Vĩnh Long	1811	Hòa Hiệp	1
4	Vĩnh Long	1814	Ngãi Tứ	0
4	Vĩnh Long	1816	Cái Ngang	0
4	Vĩnh Long	1821	Song Phú	1
4	Vĩnh Long	1825	Hòa Bình	0
4	Vĩnh Long	1827	Lục Sĩ Thành	0
4	Vĩnh Long	1834	Trà Ôn	0
4	Vĩnh Long	1835	Trà Côn	1
4	Vĩnh Long	1836	Vĩnh Xuân	3
4	Vĩnh Long	1840	Tân Ngãi	8
4	Vĩnh Long	1841	Long Châu	33
4	Vĩnh Long	1851	Hiếu Phụng	1
4	Vĩnh Long	1852	Hiếu Thành	0
4	Vĩnh Long	1854	Quới An	1
4	Vĩnh Long	1855	Quới Thiện	0
4	Vĩnh Long	1861	Trung Hiệp	0
4	Vĩnh Long	1863	Trung Ngãi	0
4	Vĩnh Long	1865	Trung Thành	0
4	Vĩnh Long	2865	An Bình	1
4	Vĩnh Long	2867	An Hiệp	0
4	Vĩnh Long	2870	An Ngãi Trung	0
4	Vĩnh Long	2873	Bảo Thạnh	0
4	Vĩnh Long	2876	Mỹ Chánh Hòa	0
4	Vĩnh Long	2884	Tân Thủy	0
4	Vĩnh Long	2885	Tân Xuân	0
4	Vĩnh Long	2892	Phú Khương	17
4	Vĩnh Long	2894	Phú Tân	18
4	Vĩnh Long	2895	Sơn Đông	7
4	Vĩnh Long	2905	Châu Hưng	3
4	Vĩnh Long	2908	Lộc Thuận	2
4	Vĩnh Long	2912	Phú Thuận	0
4	Vĩnh Long	2915	Thạnh Phước	0
4	Vĩnh Long	2916	Thạnh Trị	1
4	Vĩnh Long	2918	Thới Thuận	0
4	Vĩnh Long	2927	Giao Long	11
4	Vĩnh Long	2937	Tân Phú	3
4	Vĩnh Long	2941	Tiên Thủy	3
4	Vĩnh Long	2944	Hưng Khánh Trung	2
4	Vĩnh Long	2946	Phú Phụng	2
4	Vĩnh Long	2952	Vĩnh Thành	3
4	Vĩnh Long	2957	Châu Hòa	0
4	Vĩnh Long	2960	Hưng Nhượng	1
4	Vĩnh Long	2962	Lương Hòa	3
4	Vĩnh Long	2963	Lương Phú	0
4	Vĩnh Long	2968	Phước Long	0
4	Vĩnh Long	2969	An Hội	8
4	Vĩnh Long	2970	Tân Hào	0
4	Vĩnh Long	2977	An Qui	0
4	Vĩnh Long	2981	Đại Điền	2
4	Vĩnh Long	2987	Quới Điền	0
4	Vĩnh Long	2989	Thạnh Hải	1
4	Vĩnh Long	2991	Thạnh Phong	0
4	Vĩnh Long	10417	An Trường	0
4	Vĩnh Long	10419	Bình Phú	3
4	Vĩnh Long	10420	Càng Long	0
4	Vĩnh Long	10426	Nhị Long	0
4	Vĩnh Long	10429	Tân An	0
4	Vĩnh Long	10431	An Phú Tân	1
4	Vĩnh Long	10437	Phong Thạnh	0
4	Vĩnh Long	10438	Tam Ngãi	0
4	Vĩnh Long	10446	Mỹ Long	0
4	Vĩnh Long	10449	Nhị Trường	0
4	Vĩnh Long	10453	Vinh Kim	0
4	Vĩnh Long	10454	Châu Thành	1
4	Vĩnh Long	10456	Hòa Minh	0
4	Vĩnh Long	10457	Hoà Thuận	3
4	Vĩnh Long	10458	Hưng Mỹ	3
4	Vĩnh Long	10459	Long Hòa	0
4	Vĩnh Long	10462	Nguyệt Hoá	10
4	Vĩnh Long	10464	Song Lộc	2
4	Vĩnh Long	10467	Đông Hải	0
4	Vĩnh Long	10469	Long Hữu	0
4	Vĩnh Long	10470	Long Thành	0
4	Vĩnh Long	10472	Long Vĩnh	1
4	Vĩnh Long	10473	Ngũ Lạc	2
4	Vĩnh Long	10474	Trường Long Hoà	0
4	Vĩnh Long	10478	Hùng Hoà	2
4	Vĩnh Long	10482	Tân Hoà	1
4	Vĩnh Long	10484	Tập Ngãi	1
4	Vĩnh Long	10486	Đại An	0
4	Vĩnh Long	10488	Đôn Châu	0
4	Vĩnh Long	10490	Hàm Giang	0
4	Vĩnh Long	10491	Long Hiệp	0
4	Vĩnh Long	10492	Lưu Nghiệp Anh	0
4	Vĩnh Long	10497	Tập Sơn	1
4	Vĩnh Long	10891	Mỹ Thuận	1
4	Vĩnh Long	10896	Tân Lược	0
4	Vĩnh Long	10897	Tân Quới	1
4	Vĩnh Long	10928	Nhuận Phú Tân	1
4	Vĩnh Long	10930	Phước Mỹ Trung	1
4	Vĩnh Long	10933	Tân Thành Bình	2
4	Vĩnh Long	10937	Bến Tre	8
4	Vĩnh Long	10942	An Định	1
4	Vĩnh Long	10953	Đồng Khởi	1
4	Vĩnh Long	10955	Hương Mỹ	1
4	Vĩnh Long	10965	Thành Thới	3
4	Vĩnh Long	20673	Ba Tri	0
4	Vĩnh Long	20675	Bình Đại	1
4	Vĩnh Long	20677	Chợ Lách	4
4	Vĩnh Long	20679	Giồng Trôm	0
4	Vĩnh Long	20680	Thạnh Phú	3
4	Vĩnh Long	20682	Mỏ Cày	9
4	Vĩnh Long	20698	Long Đức	6
4	Vĩnh Long	20699	Trà Vinh	6
4	Vĩnh Long	20709	Duyên Hải	0
4	Vĩnh Long	20712	Cầu Kè	0
4	Vĩnh Long	20713	Cầu Ngang	0
4	Vĩnh Long	20714	Hiệp Mỹ	2
4	Vĩnh Long	20716	Phú Túc	18
4	Vĩnh Long	20718	Tiểu Cần	0
4	Vĩnh Long	20722	Trà Cú	0
4	Vĩnh Long	20727	Tam Bình	9
5	Tuyên Quang	3711	Đường Hồng	0
5	Tuyên Quang	3712	Giáp Trung	0
5	Tuyên Quang	3714	Minh Ngọc	0
5	Tuyên Quang	3715	Minh Sơn	0
5	Tuyên Quang	3719	Yên Cường	0
5	Tuyên Quang	3722	Bắc Mê	0
5	Tuyên Quang	3723	Bằng Hành	0
5	Tuyên Quang	3724	Đồng Tâm	0
5	Tuyên Quang	3727	Đồng Yên	0
5	Tuyên Quang	3729	Hùng An	0
5	Tuyên Quang	3732	Liên Hiệp	0
5	Tuyên Quang	3735	Tân Quang	0
5	Tuyên Quang	3740	Bắc Quang	1
5	Tuyên Quang	3744	Vĩnh Tuy	0
5	Tuyên Quang	3747	Lũng Cú	1
5	Tuyên Quang	3748	Lũng Phìn	0
5	Tuyên Quang	3752	Phố Bảng	0
5	Tuyên Quang	3755	Sà Phìn	0
5	Tuyên Quang	3765	Ngọc Đường	0
5	Tuyên Quang	3766	Hà Giang 2	2
5	Tuyên Quang	3767	Hà Giang 1	0
5	Tuyên Quang	3773	Bản Máy	0
5	Tuyên Quang	3779	Hồ Thầu	0
5	Tuyên Quang	3780	Nậm Dịch	0
5	Tuyên Quang	3787	Pờ Ly Ngài	0
5	Tuyên Quang	3790	Tân Tiến	0
5	Tuyên Quang	3791	Thàng Tín	0
5	Tuyên Quang	3793	Thông Nguyên	0
